fecha_info,codigo_entidad,nombre_entidad,sector,tipo_persona,tipo_segmento,deudores_total,deudores_irregulares,pct_irregular_cantidad,credito_total_miles_pesos,credito_irregular_miles_pesos,pct_irregular_monto,registros_situacion_1,registros_situacion_2,registros_situacion_3,registros_situacion_4,registros_situacion_5,registros_situacion_11
202604,00338,BANCO DE SERVICIOS Y TRANSACCIONES SAU,Financiero,empresa,Empresas,353,51,14.45,407803958.0,12062368.0,2.96,302,23,4,5,19,0
202604,00338,BANCO DE SERVICIOS Y TRANSACCIONES SAU,Financiero,persona_fisica,Familias,16647,1870,11.23,11297537.0,1236531.0,10.95,14777,881,615,367,7,0
202604,00338,BANCO DE SERVICIOS Y TRANSACCIONES SAU,Financiero,total,Total,17000,1921,11.30,419101495.0,13298899.0,3.17,15079,904,619,372,26,0
202604,00339,RCI BANQUE S.A.,Financiero,empresa,Empresas,74,0,0.00,121742847.0,0.0,0.00,74,0,0,0,0,0
202604,00339,RCI BANQUE S.A.,Financiero,total,Total,74,0,0.00,121742847.0,0.0,0.00,74,0,0,0,0,0
202604,00340,BACS BANCO DE CREDITO Y SECURITIZACION S.A.,Financiero,empresa,Empresas,69,4,5.80,133395639.0,4847265.0,3.63,65,1,0,1,2,0
202604,00340,BACS BANCO DE CREDITO Y SECURITIZACION S.A.,Financiero,persona_fisica,Familias,31223,2392,7.66,35765067.0,2511333.0,7.02,28831,846,721,821,4,0
202604,00340,BACS BANCO DE CREDITO Y SECURITIZACION S.A.,Financiero,total,Total,31292,2396,7.66,169160706.0,7358598.0,4.35,28896,847,721,822,6,0
202604,00341,BANCO MASVENTAS S.A.,Financiero,empresa,Empresas,141,32,22.70,6108194.0,881220.0,14.43,108,5,12,3,12,1
202604,00341,BANCO MASVENTAS S.A.,Financiero,persona_fisica,Familias,15316,3833,25.03,15440959.0,2810727.0,18.20,11477,462,559,1346,1466,6
202604,00341,BANCO MASVENTAS S.A.,Financiero,total,Total,15457,3865,25.00,21549153.0,3691947.0,17.13,11585,467,571,1349,1478,7
202604,00384,UALA BANK S.A.U.,Financiero,empresa,Empresas,8,0,0.00,30312206.0,0.0,0.00,8,0,0,0,0,0
